2018-04-22 21:31:44.204 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:31:44.204 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:31:44.204 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:31:44.205 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:31:44.206 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:31:44.216 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 2 at golf.Pairings.getOpenArraySlotInGroup(Pairings.java:65) at golf.Pairings.main(Pairings.java:44) 
2018-04-22 21:35:31.367 INFO  [main] - Begin 
2018-04-22 21:35:31.370 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:35:31.370 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:35:31.380 ERROR [main] - Exception: java.lang.ArrayIndexOutOfBoundsException: 2 at golf.Pairings.getOpenArraySlotInGroup(Pairings.java:65) at golf.Pairings.main(Pairings.java:44) 
2018-04-22 21:37:31.800 INFO  [main] - Begin 
2018-04-22 21:37:31.804 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:38:12.606 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:38:12.611 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:38:12.615 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.598 INFO  [main] - Begin 
2018-04-22 21:40:47.601 INFO  [main] - Players: 11 Groups: 3 Rounds: 6 Min times: 1 Max times: 3 Min players per group: 3 Max attempts: 10000 
2018-04-22 21:40:47.601 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.601 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.601 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 2 i: 2 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 2 i: 2 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.602 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.603 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.603 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 2 i: 2 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 2 i: 2 
2018-04-22 21:40:47.604 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 2 i: 0 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 2 i: 1 
2018-04-22 21:40:47.605 INFO  [main] - r: 0 g: 2 i: 2 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 1 i: 0 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 1 i: 1 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 1 i: 2 
2018-04-22 21:40:47.606 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 0 i: 0 
2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 0 i: 1 
2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 0 i: 2 
2018-04-22 21:40:47.607 INFO  [main] - r: 0 g: 1 i: 0 
